Office,Office (Code),Origin,Field of technology,Year,Patent Count
United States of America,US,Total,34 - Other consumer goods,1981,1885.0
United States of America,US,Total,35 - Civil engineering,1981,2966.0
European Patent Office,EP,Total,"1 - Electrical machinery, apparatus, energy",1982,1541.0
European Patent Office,EP,Total,2 - Audio-visual technology,1982,751.0
European Patent Office,EP,Total,3 - Telecommunications,1982,433.0
European Patent Office,EP,Total,4 - Digital communication,1982,148.0
European Patent Office,EP,Total,5 - Basic communication processes,1982,392.0
European Patent Office,EP,Total,6 - Computer technology,1982,596.0
European Patent Office,EP,Total,7 - IT methods for management,1982,8.0
European Patent Office,EP,Total,8 - Semiconductors,1982,513.0
European Patent Office,EP,Total,9 - Optics,1982,810.0
European Patent Office,EP,Total,10 - Measurement,1982,1194.0
European Patent Office,EP,Total,11 - Analysis of biological materials,1982,151.0
European Patent Office,EP,Total,12 - Control,1982,399.0
European Patent Office,EP,Total,13 - Medical technology,1982,737.0
European Patent Office,EP,Total,14 - Organic fine chemistry,1982,1686.0
European Patent Office,EP,Total,15 - Biotechnology,1982,340.0
European Patent Office,EP,Total,16 - Pharmaceuticals,1982,672.0
European Patent Office,EP,Total,"17 - Macromolecular chemistry, polymers",1982,1022.0
European Patent Office,EP,Total,18 - Food chemistry,1982,249.0
European Patent Office,EP,Total,19 - Basic materials chemistry,1982,1160.0
European Patent Office,EP,Total,"20 - Materials, metallurgy",1982,837.0
European Patent Office,EP,Total,"21 - Surface technology, coating",1982,558.0
European Patent Office,EP,Total,22 - Micro-structural and nano-technology,1982,
European Patent Office,EP,Total,23 - Chemical engineering,1982,981.0
European Patent Office,EP,Total,24 - Environmental technology,1982,351.0
European Patent Office,EP,Total,25 - Handling,1982,1032.0
European Patent Office,EP,Total,26 - Machine tools,1982,907.0
European Patent Office,EP,Total,"27 - Engines, pumps, turbines",1982,889.0
European Patent Office,EP,Total,28 - Textile and paper machines,1982,923.0
European Patent Office,EP,Total,29 - Other special machines,1982,1103.0
European Patent Office,EP,Total,30 - Thermal processes and apparatus,1982,666.0
European Patent Office,EP,Total,31 - Mechanical elements,1982,1122.0
European Patent Office,EP,Total,32 - Transport,1982,1049.0
European Patent Office,EP,Total,"33 - Furniture, games",1982,448.0
