year,iso_code_2,iso_code_3,countries,economic_freedom_summary_index
2001,IT,ITA,Italy,7.62
2001,JP,JPN,Japan,8.0
2001,KR,KOR,"Korea, Rep.",7.15
2001,MX,MEX,Mexico,6.67
2001,RU,RUS,Russian Federation,4.69
2001,SA,SAU,Saudi Arabia,5.55
2001,ZA,ZAF,South Africa,6.87
2001,TR,TUR,Türkiye,5.56
2001,GB,GBR,United Kingdom,8.5
2001,US,USA,United States,8.67
2000,AR,ARG,Argentina,7.22
2000,AU,AUS,Australia,8.35
2000,BR,BRA,Brazil,5.69
2000,CA,CAN,Canada,8.37
2000,CN,CHN,China,5.58
2000,FR,FRA,France,7.68
2000,DE,DEU,Germany,8.14
2000,IN,IND,India,6.1
2000,ID,IDN,Indonesia,5.99
2000,IT,ITA,Italy,7.66
2000,JP,JPN,Japan,8.17
2000,KR,KOR,"Korea, Rep.",7.04
2000,MX,MEX,Mexico,6.6
2000,RU,RUS,Russian Federation,4.89
2000,SA,SAU,Saudi Arabia,5.59
2000,ZA,ZAF,South Africa,6.86
2000,TR,TUR,Türkiye,5.76
2000,GB,GBR,United Kingdom,8.59
2000,US,USA,United States,8.83
1995,AR,ARG,Argentina,6.79
1995,AU,AUS,Australia,8.27
1995,BR,BRA,Brazil,4.35
1995,CA,CAN,Canada,8.15
1995,CN,CHN,China,4.95
1995,FR,FRA,France,7.32
1995,DE,DEU,Germany,8.03
1995,IN,IND,India,5.5
1995,ID,IDN,Indonesia,6.32
1995,IT,ITA,Italy,7.07
1995,JP,JPN,Japan,8.06
1995,KR,KOR,"Korea, Rep.",7.17
1995,MX,MEX,Mexico,6.69
1995,RU,RUS,Russian Federation,4.77
1995,ZA,ZAF,South Africa,6.76
1995,TR,TUR,Türkiye,5.71
1995,GB,GBR,United Kingdom,8.19
1995,US,USA,United States,8.8
1990,AR,ARG,Argentina,4.58
1990,AU,AUS,Australia,8.39
1990,BR,BRA,Brazil,4.18
1990,CA,CAN,Canada,8.3
1990,CN,CHN,China,4.05
